job_id,job_title,company_name,location,employment_type,experience_level,department,salary_range,job_description,responsibilities,requirements,preferred_qualifications,required_skills,preferred_skills,status
JD-770487,Mid-Level Front-End Developer,TCS,"Bengaluru, India",Contract,Entry Level,Engineering,?3–6 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Next.js, PWA","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Next.js; PWA; Service Workers,Performance Optimization; SEO,Active
JD-872246,Mid-Level Front-End Developer,TCS,"Gurgaon, India",Full-time,Mid Level,Engineering,?6–12 LPA,The position contributes to scalable and production-ready software development.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Next.js, PWA",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Next.js; PWA; Service Workers,Performance Optimization; SEO,Active
JD-131244,Mid-Level Front-End Developer,TCS,"Mumbai, India",Full-time,Senior Level,Engineering,?12–22 LPA,This role supports long-term platform evolution and stability.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Next.js, PWA",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Next.js; PWA; Service Workers,Performance Optimization; SEO,Active
JD-688508,Mid-Level Front-End Developer,HCL Technologies,"Gurgaon, India",Contract,Lead / Architect,Engineering,?22–40 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Next.js, PWA",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Next.js; PWA; Service Workers,Performance Optimization; SEO,Active
JD-391704,Front-End Intern,Infosys,"Noida, India",Full-time,Entry Level,Engineering,?3–6 LPA,This position contributes to performance optimization and feature delivery.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with HTML, CSS, JavaScript","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",HTML; CSS; JavaScript; Bootstrap,Git,Active
JD-263032,Front-End Intern,HCL Technologies,"Noida, India",Contract,Mid Level,Engineering,?6–12 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,HTML; CSS; JavaScript; Bootstrap,Git,Active
JD-201414,Front-End Intern,Capgemini India,"Noida, India",Contract,Senior Level,Engineering,?12–22 LPA,The position contributes to scalable and production-ready software development.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,HTML; CSS; JavaScript; Bootstrap,Git,Active
JD-145561,Front-End Intern,NextGen Software Labs,"Hyderabad, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,HTML; CSS; JavaScript; Bootstrap,Git,Active
JD-407419,Full-Stack (Front-End Focused),CloudNova Technologies,"Chennai, India",Contract,Entry Level,Engineering,?3–6 LPA,The position contributes to scalable and production-ready software development.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Node.js, Express","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Node.js; Express; PostgreSQL,Tailwind; Docker,Active
JD-172933,Full-Stack (Front-End Focused),Infosys,"Gurgaon, India",Full-time,Mid Level,Engineering,?6–12 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Node.js, Express",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Node.js; Express; PostgreSQL,Tailwind; Docker,Not Active
